epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.7254623044096729,,,,,1.056390404701233,9.36128418680475e-06,0.2436,510,,,,,
0.7396870554765291,,,,,0.4540332555770874,8.478452691946987e-06,0.2523,520,,,,,
0.7539118065433855,,,,,1.1119372844696045,7.630775558849679e-06,0.2728,530,,,,,
0.7681365576102418,,,,,0.7931913137435913,6.820056465342581e-06,0.2075,540,,,,,
0.7823613086770982,,,,,1.442853331565857,6.048020450356231e-06,0.2641,550,,,,,
0.7965860597439545,,,,,nan,5.316310243403622e-06,0.2508,560,,,,,
0.8108108108108109,,,,,nan,4.6264827691988394e-06,0.2524,570,,,,,
0.8250355618776671,,,,,0.7637088894844055,3.980005834850275e-06,0.2091,580,,,,,
0.8392603129445235,,,,,1.0602116584777832,3.3782550066772557e-06,0.1855,590,,,,,
0.8534850640113798,,,,,nan,2.8225106832955124e-06,0.2339,600,,,,,
0.8534850640113798,0.22900356352329254,115.9671,12.15,3.044,,,,600,,,,,
0.8677098150782361,,,,,nan,2.3139553711995332e-06,0.2512,610,,,,,
0.8819345661450925,,,,,1.3540626764297485,1.8536711686385376e-06,0.2419,620,,,,,
0.8961593172119487,,,,,nan,1.4426374631400785e-06,0.2441,630,,,,,
0.9103840682788051,,,,,nan,1.0817288475803322e-06,0.2546,640,,,,,
0.9246088193456614,,,,,2.0967299938201904,7.717132592352155e-07,0.2631,650,,,,,
